frame_idx,frame_name,x_px,y_px
217,frame_000217.jpg,419,321
219,frame_000219.jpg,419,321
220,frame_000220.jpg,421,320
220,frame_000220.jpg,423,317
221,frame_000221.jpg,424,317
223,frame_000223.jpg,424,317
224,frame_000224.jpg,424,318
225,frame_000225.jpg,424,319
225,frame_000225.jpg,424,320
226,frame_000226.jpg,424,321
228,frame_000228.jpg,424,321
229,frame_000229.jpg,423,321
230,frame_000230.jpg,423,322
230,frame_000230.jpg,422,324
232,frame_000232.jpg,421,325
232,frame_000232.jpg,422,325
233,frame_000233.jpg,422,325
233,frame_000233.jpg,423,326
234,frame_000234.jpg,418,329
236,frame_000236.jpg,417,330
237,frame_000237.jpg,419,330
238,frame_000238.jpg,419,331
238,frame_000238.jpg,420,331
240,frame_000240.jpg,421,329
241,frame_000241.jpg,422,328
242,frame_000242.jpg,424,327
243,frame_000243.jpg,426,323
245,frame_000245.jpg,428,318
245,frame_000245.jpg,429,317
246,frame_000246.jpg,429,316
247,frame_000247.jpg,429,316
249,frame_000249.jpg,429,316
249,frame_000249.jpg,429,316
250,frame_000250.jpg,430,318
251,frame_000251.jpg,431,318
253,frame_000253.jpg,452,318
253,frame_000253.jpg,497,319
254,frame_000254.jpg,498,320
255,frame_000255.jpg,499,319
256,frame_000256.jpg,500,319
258,frame_000258.jpg,498,318
259,frame_000259.jpg,499,320
259,frame_000259.jpg,499,320
260,frame_000260.jpg,499,319
262,frame_000262.jpg,500,318
262,frame_000262.jpg,500,317
262,frame_000262.jpg,499,315
263,frame_000263.jpg,496,310
264,frame_000264.jpg,492,308
266,frame_000266.jpg,489,302
267,frame_000267.jpg,486,294
268,frame_000268.jpg,403,291
268,frame_000268.jpg,402,285
270,frame_000270.jpg,403,279
271,frame_000271.jpg,404,277
271,frame_000271.jpg,406,279
272,frame_000272.jpg,408,280
273,frame_000273.jpg,411,283
275,frame_000275.jpg,415,288
276,frame_000276.jpg,420,294
276,frame_000276.jpg,422,303
277,frame_000277.jpg,423,313
279,frame_000279.jpg,425,324
280,frame_000280.jpg,426,329
281,frame_000281.jpg,426,332
283,frame_000283.jpg,424,333
283,frame_000283.jpg,420,335
284,frame_000284.jpg,419,332
285,frame_000285.jpg,453,326
286,frame_000286.jpg,452,320
288,frame_000288.jpg,453,317
289,frame_000289.jpg,454,315
289,frame_000289.jpg,458,314
290,frame_000290.jpg,460,315
290,frame_000290.jpg,460,323
292,frame_000292.jpg,459,333
292,frame_000292.jpg,454,347
293,frame_000293.jpg,451,355
294,frame_000294.jpg,494,364
296,frame_000296.jpg,491,363
297,frame_000297.jpg,489,358
297,frame_000297.jpg,489,354
298,frame_000298.jpg,490,349
300,frame_000300.jpg,491,342
301,frame_000301.jpg,494,336
302,frame_000302.jpg,496,329
302,frame_000302.jpg,500,324
303,frame_000303.jpg,500,320
305,frame_000305.jpg,429,319
306,frame_000306.jpg,427,314
306,frame_000306.jpg,427,314
307,frame_000307.jpg,427,313
309,frame_000309.jpg,429,312
310,frame_000310.jpg,434,314
311,frame_000311.jpg,436,316
311,frame_000311.jpg,436,319
313,frame_000313.jpg,431,320
314,frame_000314.jpg,424,323
315,frame_000315.jpg,416,319
316,frame_000316.jpg,415,316
316,frame_000316.jpg,418,316
318,frame_000318.jpg,423,318
319,frame_000319.jpg,433,318
320,frame_000320.jpg,539,334
320,frame_000320.jpg,544,336
322,frame_000322.jpg,544,336
322,frame_000322.jpg,544,336
323,frame_000323.jpg,545,336
324,frame_000324.jpg,547,338
326,frame_000326.jpg,549,340
